City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
101,Chokurdakh,RU,70.6333,147.9167,58.14,29,49,15.48,scattered clouds
102,Sisimiut,GL,66.9395,-53.6735,39.56,77,39,4.7,scattered clouds
103,Torbay,CA,47.6666,-52.7314,40.68,74,20,24.16,few clouds
104,Tutoia,BR,-2.7619,-42.2744,77.36,87,83,5.7,broken clouds
105,Bambari,CF,5.768,20.6757,71.64,87,38,1.88,scattered clouds
106,Henties Bay,NA,-22.116,14.2845,60.19,80,0,3.71,clear sky
107,Eregli,TR,37.5133,34.0467,57.67,41,1,0.63,clear sky
108,Avera,US,33.194,-82.5271,80.47,62,96,6.58,overcast clouds
109,Westport,US,41.1415,-73.3579,51.46,93,100,1.01,moderate rain
110,Hasaki,JP,35.7333,140.8333,79.2,73,100,20.65,overcast clouds
111,Inongo,CD,-1.95,18.2667,71.78,76,98,2.77,overcast clouds
112,Port Alfred,ZA,-33.5906,26.891,61.74,67,1,20.92,clear sky
113,Lagoa,PT,39.05,-27.9833,61.63,76,29,8.19,scattered clouds
114,Zhuhai,CN,22.2769,113.5678,89.78,74,40,18.12,scattered clouds
115,Pevek,RU,69.7008,170.3133,37.81,76,29,4.09,scattered clouds
116,Bathsheba,BB,13.2167,-59.5167,79.41,61,40,14.54,scattered clouds
117,Carnarvon,AU,-24.8667,113.6333,69.87,94,75,5.75,light rain
118,Ugoofaaru,MV,5.6667,73.0,83.8,72,24,19.77,few clouds
119,Bubaque,GW,11.2833,-15.8333,78.06,74,50,12.33,scattered clouds
120,Alofi,NU,-19.0595,-169.9187,82.29,74,33,6.91,scattered clouds
121,Dikson,RU,73.5069,80.5464,25.92,81,58,4.0,broken clouds
122,Ribeira Grande,PT,38.5167,-28.7,62.26,73,22,4.5,few clouds
123,Lima,PE,-12.0432,-77.0282,61.14,88,90,11.5,overcast clouds
124,Neiafu,TO,-18.65,-173.9833,81.28,74,75,4.61,broken clouds
125,Malakal,SS,9.5334,31.6605,79.9,56,7,3.71,clear sky
