City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Rosita,NI,2021-05-25 20:25:22,13.9268,-84.4032,77.58,96,100,2.82
88,Copala,MX,2021-05-25 20:25:23,16.65,-98.9833,90.19,47,59,10.85
89,Barrow,US,2021-05-25 20:25:23,71.2906,-156.7887,26.62,80,90,6.91
90,Potosi,BO,2021-05-25 20:25:23,-19.5836,-65.7531,54.75,21,68,3.62
91,Wapi Pathum,TH,2021-05-25 20:25:24,15.8452,103.3768,81.32,81,100,7.34
92,Mahebourg,MU,2021-05-25 20:25:24,-20.4081,57.7,75.49,83,75,12.66
93,Coquimbo,CL,2021-05-25 20:25:24,-29.9533,-71.3436,60.53,77,0,4.94
94,Bilibino,RU,2021-05-25 20:25:24,68.0546,166.4372,39.58,77,100,5.35
95,Thompson,CA,2021-05-25 20:25:25,55.7435,-97.8558,28.56,86,90,14.97
96,Longyearbyen,SJ,2021-05-25 20:25:25,78.2186,15.6401,28.24,80,75,11.5
97,Saskylakh,RU,2021-05-25 20:25:25,71.9167,114.0833,43.41,63,100,4.14
98,Chuy,UY,2021-05-25 20:25:26,-33.6971,-53.4616,59.81,66,1,11.43
99,Tuatapere,NZ,2021-05-25 20:25:26,-46.1333,167.6833,37.36,69,71,5.3
100,Butaritari,KI,2021-05-25 20:25:26,3.0707,172.7902,81.34,80,100,15.43
101,Marienburg,PL,2021-05-25 20:25:27,54.0359,19.0266,54.88,88,100,6.91
102,Zeya,RU,2021-05-25 20:25:27,53.75,127.2667,38.21,85,100,4.27
103,Stornoway,GB,2021-05-25 20:25:27,58.2093,-6.3865,49.96,76,20,12.66
104,Kuznetsk,RU,2021-05-25 20:25:27,53.1167,46.6004,51.21,90,0,6.49
105,Sitka,US,2021-05-25 20:25:28,57.0531,-135.33,48.09,81,90,4.61
106,Belyy Yar,RU,2021-05-25 20:25:28,53.6039,91.3903,57.09,82,40,6.6
107,Klaksvik,FO,2021-05-25 20:25:28,62.2266,-6.589,50.92,91,97,16.08
108,Lazaro Cardenas,MX,2021-05-25 20:25:29,17.9583,-102.2,87.3,47,100,11.34
109,Zalantun,CN,2021-05-25 20:25:29,48.0,122.7167,41.49,71,6,6.42
110,Tukrah,LY,2021-05-25 20:25:29,32.5341,20.5791,72.72,52,0,11.36
111,Port Alfred,ZA,2021-05-25 20:25:29,-33.5906,26.891,63.86,91,85,11.1
112,Torrelavega,ES,2021-05-25 20:25:30,43.3494,-4.0479,56.8,80,16,1.01
113,Saint-Francois,FR,2021-05-25 20:25:30,46.4154,3.9054,51.24,82,0,3.44
114,Touros,BR,2021-05-25 20:25:30,-5.1989,-35.4608,81.5,75,97,12.77
115,Esperance,AU,2021-05-25 20:25:31,-33.8667,121.9,48.04,82,36,9.06
116,Isabela,PH,2021-05-25 20:22:31,6.7085,121.9711,80.2,85,99,3.13
117,Rawson,AR,2021-05-25 20:20:54,-43.3002,-65.1023,51.03,35,35,7.34
118,Aklavik,CA,2021-05-25 20:25:31,68.2191,-135.0107,39.92,75,90,9.22
119,Pevek,RU,2021-05-25 20:25:31,69.7008,170.3133,31.5,79,98,3.85
120,Torbay,CA,2021-05-25 20:25:32,47.6666,-52.7314,53.58,61,90,26.46
121,Visnes,NO,2021-05-25 20:25:32,59.3556,5.2242,58.89,58,40,8.05
122,Castro,BR,2021-05-25 20:25:32,-24.7911,-50.0119,58.91,62,43,3.02
